ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
43098518,72158401,18767554,,
96269851,72158401,18767554,,
86467729,72158401,59287240,,
1644879,72158401,59287240,,
77015976,72158401,59287240,,
69817650,72158401,59287240,,
65426102,72158401,31561187,,
71589137,72158401,31561187,,
88404478,72158401,31561187,,
13647562,72158401,31561187,,
83892341,72158401,31561187,,
73728079,72158401,73113253,,
45466641,72158401,73113253,,
73821741,72158401,73113253,,
38863535,72158401,73113253,,
15603428,72158401,89761386,,
94977439,72158401,89761386,,
52138719,72158401,89761386,,
66228283,72158401,89761386,,
39985598,72158401,89761386,,
69935946,72158401,89761386,,
21665175,72158401,39923431,,
61999083,72158401,39923431,,
67917096,72158401,39923431,,
18250325,72158401,39923431,,
9574951,72158401,14947601,,
32257615,72158401,14947601,,
10463259,72158401,14947601,,
34286614,72158401,14947601,,
36838735,72158401,14947601,,
80560727,72158401,53442767,,
16386823,72158401,53442767,,
49449500,72158401,53442767,,
21737312,72158401,53442767,,
8649496,72158401,53442767,,
55887803,72158401,35887754,,
26263252,72158401,35887754,,
81311454,72158401,35887754,,
24449860,72158401,35887754,,
4400026,72158401,90735668,,
51135775,72158401,90735668,,
15521977,72158401,90735668,,
37259599,72158401,90735668,,
8752163,72158401,49746069,,
65089759,72158401,49746069,,
7519675,72158401,49746069,,
58147240,72158401,49746069,,
47499738,72158401,21267167,,
24283626,72158401,21267167,,
15897980,72158401,21267167,,
47496297,72158401,21267167,,
56799050,72158401,77473926,,
26079844,72158401,77473926,,
92539064,72158401,77473926,,
69076610,72158401,77473926,,
7897917,72158401,832153,,
32087038,72158401,832153,,
6236001,72158401,832153,,
55877890,72158401,832153,,
52636159,86083690,25482520,,
39833429,86083690,25482520,,
83818446,86083690,25482520,,
34544875,86083690,25482520,,
21031157,86083690,25482520,,
59502195,86083690,81328377,,
60037556,86083690,81328377,,
21737312,86083690,81328377,,
19467112,86083690,81328377,,
60153375,86083690,57461405,,
24307135,86083690,57461405,,
43098518,86083690,57461405,,
60557330,86083690,57461405,,
35452913,86083690,57461405,,
33330900,86083690,57461405,,
95127241,86083690,57461405,,
19858163,86083690,99948523,,
27988605,86083690,99948523,,
38090223,86083690,99948523,,
99936909,86083690,99948523,,
3888095,86083690,1696220,,
56573294,86083690,1696220,,
50158144,86083690,1696220,,
51345164,86083690,1696220,,
