regaty,ID_wariantu_klubu,miejsceWRegatach
60773118,74174186,6
60773118,64521030,7
60773118,2968352,8
60773118,79941094,9
60773118,77996720,10
60773118,20708529,11
60773118,56265761,12
60773118,23372296,13
60773118,8699349,14
60773118,96517047,15
60773118,35882268,16
60773118,38352842,17
60773118,59382754,18
23242296,2968352,1
23242296,64830853,2
23242296,59287240,3
23242296,23372296,4
23242296,64521030,5
23242296,77996720,6
23242296,35887754,7
23242296,10576990,8
23242296,20708529,9
23242296,23474192,10
23242296,8699349,11
23242296,74174186,12
23242296,96517047,13
23242296,38352842,14
23242296,56265761,15
23242296,59382754,16
23242296,35882268,17
23242296,79941094,18
32915456,14947601,1
32915456,2968352,2
32915456,18767554,3
32915456,59287240,4
32915456,23628341,5
32915456,82519192,6
32915456,77440855,7
32915456,14091040,8
32915456,20173236,9
32915456,90735668,10
32915456,5394163,11
32915456,80812925,12
32915456,9193535,13
32915456,38352842,14
32915456,59382754,15
32915456,29673695,16
32915456,8699349,17
32915456,23372296,18
8389469,18767554,1
8389469,14947601,2
8389469,90735668,3
8389469,82519192,4
8389469,59287240,5
8389469,23628341,6
8389469,9193535,7
8389469,8699349,8
8389469,2968352,9
8389469,29673695,10
8389469,38352842,11
8389469,20173236,12
8389469,14091040,13
8389469,77440855,14
8389469,23372296,15
8389469,59382754,16
8389469,80812925,17
8389469,5394163,18
16432618,14091040,1
16432618,23628341,2
16432618,90735668,3
16432618,20173236,4
16432618,18767554,5
16432618,23372296,6
16432618,59287240,7
16432618,14947601,8
16432618,29673695,9
16432618,82519192,10
16432618,8699349,11
16432618,5394163,12
16432618,9193535,13
16432618,80812925,14
16432618,38352842,15
16432618,59382754,16
16432618,2968352,17
16432618,77440855,18
19492707,90735668,1
19492707,29673695,2
19492707,80812925,3
19492707,59287240,4
19492707,14947601,5
19492707,18767554,6
19492707,14091040,7
19492707,20173236,8
19492707,2968352,9
19492707,23628341,10
19492707,23372296,11
19492707,5394163,12
19492707,82519192,13
19492707,77440855,14
19492707,38352842,15
19492707,8699349,16
19492707,59382754,17
19492707,9193535,18
69259421,3343985,1
69259421,5117166,2
69259421,77440855,3
69259421,2968352,4
69259421,29673695,5
69259421,77996720,6
69259421,55674587,7
69259421,1696220,8
69259421,56132742,9
69259421,20173236,10
69259421,57004617,11
69259421,92127505,12
69259421,9193535,13
69259421,39262660,14
69259421,23372296,15
69259421,11484760,16
69259421,23474192,17
69259421,8699349,18
87373489,57004617,1
87373489,56132742,2
87373489,3343985,3
87373489,2968352,4
87373489,77996720,5
87373489,5117166,6
87373489,77440855,7
87373489,90476956,8
87373489,39262660,9
87373489,55674587,10
87373489,11484760,11
87373489,29673695,12
87373489,92127505,13
87373489,23474192,14
87373489,20173236,15
87373489,9193535,16
87373489,23372296,17
87373489,8699349,18
16117658,64830853,1
16117658,77440855,2
16117658,77996720,3
16117658,90476956,4
16117658,3343985,5
16117658,56132742,6
16117658,29673695,7
16117658,5117166,8
